City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
368,Sulangan,PH,81.57,overcast clouds,11.1373,123.7228,Maia's Beach Resort
369,Jilib,SO,77.23,light rain,0.4883,42.7854,Waadi Hotel
373,Sam Chuk,TH,83.39,light rain,14.7576,100.0899,Samchuk Resort
380,Fantino,DO,87.31,broken clouds,19.1215,-70.2997,Tropical Farmhouse stay next to cocoa plantation
383,Sibolga,ID,77.34,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
384,Lakatoro,VU,76.3,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
386,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
391,Hobyo,SO,85.01,broken clouds,5.3505,48.5268,Iftin hotel hobyo
393,Sola,VU,81.52,light rain,-13.8833,167.55,Leumerus Bungalows
398,Madera,US,80.53,clear sky,37.1666,-119.8343,
400,Taoudenni,ML,85.42,clear sky,22.6783,-3.9836,
402,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
403,Noumea,NC,75.99,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
406,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
413,Laguna,US,81.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
416,Tessalit,ML,86.34,clear sky,20.1986,1.0114,
418,Havelock,US,75.18,broken clouds,34.8791,-76.9013,Sherwood Motel
421,Abonnema,NG,82.69,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
422,Rosa Zarate,EC,82.33,moderate rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
426,Half Moon Bay,US,75.54,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
427,Porto Nacional,BR,89.6,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
428,Robstown,US,86.34,overcast clouds,27.7903,-97.6689,Days Inn by Wyndham Robstown
