City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
103,Victoria,HK,22.2855,114.1577,78.19,85,100,17.0,light rain,2022-04-30 19:31:42
104,Mataura,NZ,-46.1927,168.8643,64.47,87,100,3.71,overcast clouds,2022-04-30 19:28:58
105,Ler,SS,8.3018,30.1418,82.13,56,84,7.65,broken clouds,2022-04-30 19:30:19
106,Nioro,GM,13.35,-15.75,86.65,33,76,12.37,broken clouds,2022-04-30 19:31:42
107,Curvelo,BR,-18.7564,-44.4308,81.79,32,22,9.15,few clouds,2022-04-30 19:31:43
108,Vestmanna,FO,62.1564,-7.1664,43.72,87,45,9.22,scattered clouds,2022-04-30 19:31:44
109,Hokitika,NZ,-42.7167,170.9667,56.41,87,100,4.7,overcast clouds,2022-04-30 19:31:44
110,Padang,ID,-0.9492,100.3543,77.34,90,99,4.59,light rain,2022-04-30 19:31:45
111,Nishihara,JP,26.1842,127.7558,70.88,78,100,5.75,overcast clouds,2022-04-30 19:31:46
112,Sorland,NO,67.667,12.6934,37.27,64,25,7.56,scattered clouds,2022-04-30 19:31:46
113,Merauke,ID,-8.4667,140.3333,79.56,86,100,11.72,moderate rain,2022-04-30 19:31:24
114,Khonsa,IN,27.0167,95.5667,62.4,83,100,3.09,overcast clouds,2022-04-30 19:31:47
115,Penhold,CA,52.1334,-113.8687,53.4,50,75,9.22,broken clouds,2022-04-30 19:30:27
116,Kapaa,US,22.0752,-159.319,77.47,78,40,17.27,scattered clouds,2022-04-30 19:31:48
117,Pochutla,MX,15.7432,-96.4661,88.83,41,4,9.84,clear sky,2022-04-30 19:31:48
118,Aykhal,RU,66.0,111.5,12.74,93,100,25.48,light snow,2022-04-30 19:31:49
119,Port Macquarie,AU,-31.4333,152.9167,57.88,88,7,8.97,clear sky,2022-04-30 19:31:49
120,Tadine,NC,-21.55,167.8833,75.18,86,100,16.53,light rain,2022-04-30 19:31:50
121,Itarema,BR,-2.9248,-39.9167,80.33,86,11,8.21,few clouds,2022-04-30 19:31:51
122,Portland,US,45.5234,-122.6762,57.24,81,75,9.22,broken clouds,2022-04-30 19:30:52
123,Namatanai,PG,-3.6667,152.4333,78.31,83,78,3.04,light rain,2022-04-30 19:31:51
124,Leningradskiy,RU,69.3833,178.4167,9.64,91,71,4.41,broken clouds,2022-04-30 19:31:52
125,Faanui,PF,-16.4833,-151.75,81.3,72,9,15.73,light rain,2022-04-30 19:31:52
126,Takoradi,GH,4.8845,-1.7554,81.45,82,85,8.88,overcast clouds,2022-04-30 19:31:53
127,Saint George,US,37.1041,-113.5841,79.43,13,0,8.05,clear sky,2022-04-30 19:29:22
128,Nome,US,64.5011,-165.4064,46.47,50,20,9.22,few clouds,2022-04-30 19:31:54
129,Coolum Beach,AU,-26.5333,153.1,66.34,98,60,6.44,broken clouds,2022-04-30 19:31:54
130,Bell Ville,AR,-32.6259,-62.6887,67.66,33,31,7.31,scattered clouds,2022-04-30 19:31:55
